year,srno,movie,rating,time
1913,3,3,3,3
1914,20,20,5,18
1915,1,1,1,1
1916,1,1,1,1
1918,1,1,1,1
1919,3,3,3,3
1920,6,6,6,6
1921,2,2,2,2
1922,2,2,2,2
1923,4,4,4,4
1924,5,5,5,5
1925,5,5,5,5
1926,2,2,2,2
1927,4,4,4,4
1928,2,2,2,2
1929,5,5,5,5
1930,5,5,5,5
1931,3,3,3,3
1932,4,4,3,4
1933,7,7,3,7
1934,8,8,2,8
1935,11,11,8,11
1936,7,7,2,7
1937,4,4,4,4
1938,5,5,4,5
1939,6,6,5,6
1940,9,9,8,9
1941,7,7,7,7
1942,3,3,3,3
1943,7,7,6,7
1944,10,10,10,10
1945,9,9,9,9
1946,6,6,5,6
1947,9,9,8,9
1948,13,13,13,13
1949,9,9,8,9
1950,10,10,10,10
1951,33,33,9,31
1952,15,15,14,15
1953,17,17,17,17
1954,17,17,17,17
1955,14,14,14,13
1956,60,60,21,59
1957,98,98,24,95
1958,73,73,22,70
1959,87,87,12,84
1960,123,123,23,119
1961,119,119,17,115
1962,124,124,20,121
1963,88,88,24,85
1964,126,126,19,121
1965,104,104,12,101
1966,103,103,15,97
1967,279,279,21,270
1968,173,173,32,161
1969,124,124,21,120
1970,141,141,32,134
1971,131,131,35,122
1972,166,166,31,156
1973,168,168,40,157
1974,178,178,38,168
1975,134,134,29,124
1976,118,118,34,110
1977,136,136,36,128
1978,231,231,51,213
1979,140,140,40,133
1980,107,107,37,98
1981,112,112,36,105
1982,153,153,37,144
1983,270,270,50,253
1984,303,303,52,286
1985,334,334,55,317
1986,287,287,62,276
1987,280,280,68,265
1988,334,334,79,312
1989,421,421,90,386
1990,470,470,84,435
1991,364,364,81,343
1992,479,479,84,448
1993,564,564,93,529
1994,517,517,101,491
1995,592,592,114,557
1996,688,688,143,649
1997,788,788,176,743
1998,843,843,178,794
1999,1181,1181,187,1097
2000,902,902,203,854
2001,1173,1173,237,1093
2002,1117,1117,250,1044
2003,1399,1399,279,1294
2004,1381,1381,311,1269
2005,1937,1937,392,1765
2006,2416,2416,492,2229
2007,2892,2892,569,2665
2008,3358,3358,609,3088
2009,4451,4451,844,4092
2010,5107,5107,1102,4671
2011,5511,5511,1346,4992
2012,4339,4339,1130,3978
2013,981,981,345,901
2014,1,1,1,1
